日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2020-11-18,'000421,南京公用,6.09,6.12,6.05,6.06,6.08,0.01,0.1645,0.6643,3803986,23151247.88,3487419828.06,3487419828.06
2020-11-17,'000421,南京公用,6.08,6.18,6.06,6.18,6.13,-0.05,-0.8157,0.7687,4402000,26796974.0,3481693358.72,3481693358.72
2020-11-16,'000421,南京公用,6.13,6.16,6.04,6.09,6.1,0.03,0.4918,0.8484,4858500,29672901.0,3510325705.42,3510325705.42
2020-11-13,'000421,南京公用,6.1,6.17,6.06,6.14,6.17,-0.07,-1.1345,0.8273,4737602,28861589.14,3493146297.4,3493146297.4
2020-11-12,'000421,南京公用,6.17,6.26,6.13,6.21,6.26,-0.09,-1.4377,1.1263,6450002,39817382.31,3533231582.78,3533231582.78
2020-11-11,'000421,南京公用,6.26,6.46,6.12,6.22,6.26,0.0,0.0,2.2328,12786145,80518259.46,3584769806.84,3584769806.84
2020-11-10,'000421,南京公用,6.26,6.33,6.05,6.05,6.05,0.21,3.4711,2.4445,13998526,87254620.68,3584769806.84,3584769806.84
2020-11-09,'000421,南京公用,6.05,6.08,5.95,5.95,5.95,0.1,1.6807,1.0441,5979227,36143743.97,3464513950.7,3464513950.7
2020-11-06,'000421,南京公用,5.95,6.02,5.91,5.99,6.02,-0.07,-1.1628,0.7661,4387109,26065765.83,3407249257.3,3407249257.3
2020-11-05,'000421,南京公用,6.02,6.04,5.91,5.91,5.91,0.11,1.8613,0.9752,5584640,33410889.4,3447334542.68,3447334542.68
2020-11-04,'000421,南京公用,5.91,6.02,5.87,6.0,6.0,-0.09,-1.5,0.8972,5137964,30451258.24,3384343379.94,3384343379.94
2020-11-03,'000421,南京公用,6.0,6.02,5.91,5.92,5.88,0.12,2.0408,1.0252,5870530,35083139.94,3435881604.0,3435881604.0
2020-11-02,'000421,南京公用,5.88,6.13,5.86,6.11,6.12,-0.24,-3.9216,1.55,8876120,52814552.83,3367163971.92,3367163971.92
2020-10-30,'000421,南京公用,6.12,6.41,6.12,6.4,6.41,-0.29,-4.5242,1.9034,10899600,68131064.99,3504599236.08,3504599236.08
2020-10-29,'000421,南京公用,6.41,6.5,6.36,6.5,6.6,-0.19,-2.8788,1.7143,9817132,62922316.44,3670666846.94,3670666846.94
2020-10-28,'000421,南京公用,6.6,6.63,6.33,6.46,6.44,0.16,2.4845,1.5808,9052602,59032565.33,3779469764.4,3779469764.4
2020-10-27,'000421,南京公用,6.44,6.54,6.41,6.5,6.53,-0.09,-1.3783,0.9155,5242700,33776359.0,3687846254.96,3687846254.96
2020-10-26,'000421,南京公用,6.53,6.6,6.39,6.45,6.46,0.07,1.0836,1.0471,5996000,39124711.0,3739384479.02,3739384479.02
2020-10-23,'000421,南京公用,6.46,6.71,6.45,6.68,6.71,-0.25,-3.7258,1.5399,8818289,57920004.74,3699299193.64,3699299193.64
2020-10-22,'000421,南京公用,6.71,6.74,6.62,6.68,6.74,-0.03,-0.4451,1.0611,6076529,40508866.25,3842460927.14,3842460927.14
2020-10-21,'000421,南京公用,6.74,6.89,6.69,6.88,6.86,-0.12,-1.7493,1.3717,7855101,53000363.75,3859640335.16,3859640335.16
2020-10-20,'000421,南京公用,6.86,6.91,6.77,6.9,6.94,-0.08,-1.1527,1.7174,9834760,67124156.25,3928357967.24,3928357967.24
2020-10-19,'000421,南京公用,6.94,7.02,6.86,7.02,7.06,-0.12,-1.6997,2.7457,15722919,108813758.46,3974169721.96,3974169721.96
2020-10-16,'000421,南京公用,7.06,7.06,6.67,6.71,6.67,0.39,5.8471,4.9143,28141699,195461742.64,4042887354.04,4042887354.04
2020-10-15,'000421,南京公用,6.67,6.8,6.66,6.8,6.77,-0.1,-1.4771,1.0656,6102300,40928743.0,3819555049.78,3819555049.78
2020-10-14,'000421,南京公用,6.77,6.84,6.73,6.78,6.77,0.0,0.0,1.8001,10308324,70012287.72,3876819743.18,3876819743.18
2020-10-13,'000421,南京公用,6.77,6.85,6.71,6.85,6.85,-0.08,-1.1679,1.6223,9290040,62745655.4,3876819743.18,3876819743.18
2020-10-12,'000421,南京公用,6.85,6.87,6.62,6.7,6.6,0.25,3.7879,2.4579,14075100,95688018.0,3922631497.9,3922631497.9
2020-10-09,'000421,南京公用,6.6,6.68,6.48,6.51,6.42,0.18,2.8037,1.454,8326500,54756058.0,3779469764.4,3779469764.4
2020-09-30,'000421,南京公用,6.42,6.48,6.34,6.43,6.41,0.01,0.156,0.9468,5422100,34764263.0,3676393316.28,3676393316.28
2020-09-29,'000421,南京公用,6.41,6.5,6.29,6.32,6.29,0.12,1.9078,1.219,6980389,44857719.16,3670666846.94,3670666846.94
2020-09-28,'000421,南京公用,6.29,6.47,6.26,6.47,6.41,-0.12,-1.8721,1.0257,5873600,37284810.0,3601949214.86,3601949214.86
2020-09-25,'000421,南京公用,6.41,6.46,6.35,6.41,6.41,0.0,0.0,0.8703,4983570,31854472.6,3670666846.94,3670666846.94
2020-09-24,'000421,南京公用,6.41,6.56,6.4,6.54,6.62,-0.21,-3.1722,1.249,7152289,46157893.71,3670666846.94,3670666846.94
2020-09-23,'000421,南京公用,6.62,6.7,6.53,6.7,6.69,-0.07,-1.0463,1.2818,7340446,48418983.06,3790922703.08,3790922703.08
2020-09-22,'000421,南京公用,6.69,6.81,6.63,6.78,6.84,-0.15,-2.193,1.8012,10314251,69069278.7,3831007988.46,3831007988.46
2020-09-21,'000421,南京公用,6.84,6.93,6.54,6.6,6.6,0.24,3.6364,3.4053,19500500,132169538.91,3916905028.56,3916905028.56
2020-09-18,'000421,南京公用,6.6,6.64,6.36,6.43,6.44,0.16,2.4845,1.8947,10850109,70900012.59,3779469764.4,3779469764.4
2020-09-17,'000421,南京公用,6.44,6.5,6.39,6.41,6.43,0.01,0.1555,1.3556,7762895,50043398.05,3687846254.96,3687846254.96
2020-09-16,'000421,南京公用,6.43,6.61,6.39,6.54,6.53,-0.1,-1.5314,1.6687,9555900,62177444.0,3682119785.62,3682119785.62
2020-09-15,'000421,南京公用,6.53,6.62,6.45,6.47,6.47,0.06,0.9274,1.5418,8828840,57530483.2,3739384479.02,3739384479.02
2020-09-14,'000421,南京公用,6.47,6.64,6.42,6.51,6.48,-0.01,-0.1543,1.2224,6999817,45564370.5,3705025662.98,3705025662.98
2020-09-11,'000421,南京公用,6.48,6.48,6.31,6.32,6.4,0.08,1.25,1.1231,6431401,41287656.44,3710752132.32,3710752132.32
2020-09-10,'000421,南京公用,6.4,6.69,6.4,6.68,6.57,-0.17,-2.5875,1.5642,8957600,58353863.0,3664940377.6,3664940377.6
2020-09-09,'000421,南京公用,6.57,6.77,6.56,6.69,6.74,-0.17,-2.5223,1.7706,10139480,67285198.6,3762290356.38,3762290356.38
2020-09-08,'000421,南京公用,6.74,6.78,6.49,6.59,6.6,0.14,2.1212,1.9944,11420620,75927110.9,3859640335.16,3859640335.16
2020-09-07,'000421,南京公用,6.6,6.95,6.6,6.87,6.9,-0.3,-4.3478,2.2803,13057997,87998457.11,3779469764.4,3779469764.4
2020-09-04,'000421,南京公用,6.9,6.91,6.61,6.8,6.85,0.05,0.7299,1.81,10364855,70114952.81,3951263844.6,3951263844.6
2020-09-03,'000421,南京公用,6.85,7.04,6.83,7.04,7.0,-0.15,-2.1429,2.0391,11676759,80593929.94,3922631497.9,3922631497.9
2020-09-02,'000421,南京公用,7.0,7.08,6.98,7.03,7.03,-0.03,-0.4267,1.5695,8987601,63140157.01,4008528538.0,4008528538.0
2020-09-01,'000421,南京公用,7.03,7.08,6.95,6.97,7.01,0.02,0.2853,1.652,9459853,66393291.62,4025707946.02,4025707946.02
2020-08-31,'000421,南京公用,7.01,7.13,6.99,7.03,7.03,-0.02,-0.2845,2.119,12134501,85511555.03,4014255007.34,4014255007.34
2020-08-28,'000421,南京公用,7.03,7.05,6.84,7.04,6.97,0.06,0.8608,2.3467,13438469,93313815.25,4025707946.02,4025707946.02
2020-08-27,'000421,南京公用,6.97,7.1,6.83,7.09,7.06,-0.09,-1.2748,2.4527,14045232,97445434.83,3991349129.98,3991349129.98
2020-08-26,'000421,南京公用,7.06,7.16,7.03,7.09,7.08,-0.02,-0.2825,2.124,12162741,86116460.26,4042887354.04,4042887354.04
2020-08-25,'000421,南京公用,7.08,7.29,7.06,7.21,7.21,-0.13,-1.8031,2.9706,17010924,121363082.16,4054340292.72,4054340292.72
2020-08-24,'000421,南京公用,7.21,7.28,7.06,7.17,7.26,-0.05,-0.6887,3.195,18295903,130579665.3,4128784394.14,4128784394.14
2020-08-21,'000421,南京公用,7.26,7.58,7.25,7.4,7.64,-0.38,-4.9738,4.8071,27527776,202984666.46,4157416740.84,4157416740.84
2020-08-20,'000421,南京公用,7.64,7.78,7.52,7.55,7.52,0.12,1.5957,5.5713,31903655,244367631.03,4375022575.76,4375022575.76
2020-08-19,'000421,南京公用,7.52,7.72,7.45,7.7,7.76,-0.24,-3.0928,4.231,24228964,182926406.95,4306304943.68,4306304943.68
2020-08-18,'000421,南京公用,7.76,7.8,7.34,7.39,7.38,0.38,5.1491,6.4176,36750177,280492646.4,4443740207.84,4443740207.84
