�梪�,嘖き測鎢,靡備,彶攫歎,郔詢歎,郔腴歎,羲攫歎,ヶ彶攫,梀視塗,梀視盟,遙忒薹,傖蝠講,傖蝠踢塗,軞庈硉,霜籵庈硉
2020-11-18,'000795,荎醫貌,6.0,6.02,5.79,5.83,5.82,0.18,3.0928,2.9907,33905565,201084364.76,6802104618.0,6802104618.0
2020-11-17,'000795,荎醫貌,5.82,5.94,5.78,5.9,5.9,-0.08,-1.3559,1.8087,20504502,119682732.8,6598041479.46,6598041479.46
2020-11-16,'000795,荎醫貌,5.9,5.95,5.64,5.71,5.68,0.22,3.8732,2.9059,32943602,192633769.27,6688736207.7,6688736207.7
2020-11-13,'000795,荎醫貌,5.68,5.8,5.47,5.56,5.54,0.14,2.5271,1.7999,20405673,115618473.84,6439325705.04,6439325705.04
2020-11-12,'000795,荎醫貌,5.54,5.63,5.52,5.59,5.64,-0.1,-1.773,0.8521,9660372,53829783.16,6280609930.62,6280609930.62
2020-11-11,'000795,荎醫貌,5.64,5.7,5.56,5.63,5.62,0.02,0.3559,1.0316,11695500,65904511.0,6393978340.92,6393978340.92
2020-11-10,'000795,荎醫貌,5.62,5.74,5.61,5.73,5.7,-0.08,-1.4035,1.0146,11502700,65137108.0,6371304658.86,6371304658.86
2020-11-09,'000795,荎醫貌,5.7,5.75,5.57,5.62,5.61,0.09,1.6043,1.4469,16403128,93082488.86,6461999387.1,6461999387.1
2020-11-06,'000795,荎醫貌,5.61,5.73,5.57,5.59,5.59,0.02,0.3578,1.2562,14240801,80362095.2,6359967817.83,6359967817.83
2020-11-05,'000795,荎醫貌,5.59,5.61,5.53,5.59,5.56,0.03,0.5396,0.8786,9960308,55533137.56,6337294135.77,6337294135.77
2020-11-04,'000795,荎醫貌,5.56,5.61,5.5,5.56,5.55,0.01,0.1802,0.7716,8747704,48558577.99,6303283612.68,6303283612.68
2020-11-03,'000795,荎醫貌,5.55,5.63,5.3,5.31,5.3,0.25,4.717,1.3063,14809509,81484293.22,6291946771.65,6291946771.65
2020-11-02,'000795,荎醫貌,5.3,5.47,5.23,5.46,5.45,-0.15,-2.7523,0.9638,10925896,58068729.22,6008525745.9,6008525745.9
2020-10-30,'000795,荎醫貌,5.45,5.63,5.45,5.6,5.58,-0.13,-2.3297,0.8291,9399700,52164327.0,6178578361.35,6178578361.35
2020-10-29,'000795,荎醫貌,5.58,5.64,5.47,5.51,5.62,-0.04,-0.7117,0.7207,8170121,45500469.97,6325957294.74,6325957294.74
2020-10-28,'000795,荎醫貌,5.62,5.68,5.47,5.56,5.54,0.08,1.444,0.9566,10845200,60432205.0,6371304658.86,6371304658.86
2020-10-27,'000795,荎醫貌,5.54,5.56,5.48,5.5,5.52,0.02,0.3623,0.4551,5159053,28446566.52,6280609930.62,6280609930.62
2020-10-26,'000795,荎醫貌,5.52,5.58,5.5,5.57,5.57,-0.05,-0.8977,0.4909,5565104,30776167.16,6257936248.56,6257936248.56
2020-10-23,'000795,荎醫貌,5.57,5.65,5.56,5.62,5.61,-0.04,-0.713,0.4413,5003400,27994215.0,6314620453.71,6314620453.71
2020-10-22,'000795,荎醫貌,5.61,5.66,5.56,5.62,5.64,-0.03,-0.5319,0.5474,6205702,34728956.18,6359967817.83,6359967817.83
2020-10-21,'000795,荎醫貌,5.64,5.73,5.63,5.68,5.71,-0.07,-1.2259,0.4566,5176900,29306206.98,6393978340.92,6393978340.92
2020-10-20,'000795,荎醫貌,5.71,5.71,5.61,5.66,5.68,0.03,0.5282,0.6169,6993502,39522981.26,6473336228.13,6473336228.13
2020-10-19,'000795,荎醫貌,5.68,5.79,5.68,5.74,5.74,-0.06,-1.0453,0.6326,7171702,41078724.56,6439325705.04,6439325705.04
2020-10-16,'000795,荎醫貌,5.74,5.84,5.72,5.81,5.84,-0.1,-1.7123,0.9527,10800521,62177157.71,6507346751.22,6507346751.22
2020-10-15,'000795,荎醫貌,5.84,5.93,5.79,5.8,5.79,0.05,0.8636,1.1285,12793734,74985977.52,6620715161.52,6620715161.52
2020-10-14,'000795,荎醫貌,5.79,5.91,5.78,5.9,5.88,-0.09,-1.5306,0.8222,9321200,54339875.0,6564030956.37,6564030956.37
2020-10-13,'000795,荎醫貌,5.88,5.94,5.82,5.9,5.89,-0.01,-0.1698,0.938,10634112,62404299.8,6666062525.64,6666062525.64
2020-10-12,'000795,荎醫貌,5.89,5.9,5.74,5.74,5.72,0.17,2.972,1.3414,15207114,88736128.47,6677399366.67,6677399366.67
2020-10-09,'000795,荎醫貌,5.72,5.75,5.62,5.62,5.56,0.16,2.8777,0.7719,8750784,49892311.73,6484673069.16,6484673069.16
2020-09-30,'000795,荎醫貌,5.56,5.65,5.55,5.62,5.61,-0.05,-0.8913,0.5918,6708839,37530935.84,6303283612.68,6303283612.68
2020-09-29,'000795,荎醫貌,5.61,5.68,5.61,5.62,5.6,0.01,0.1786,0.544,6166700,34757351.0,6359967817.83,6359967817.83
2020-09-28,'000795,荎醫貌,5.6,5.73,5.6,5.71,5.67,-0.07,-1.2346,0.5737,6504375,36644194.94,6348630976.8,6348630976.8
2020-09-25,'000795,荎醫貌,5.67,5.83,5.63,5.81,5.8,-0.13,-2.2414,1.0508,11912711,68023032.12,6427988864.01,6427988864.01
2020-09-24,'000795,荎醫貌,5.8,5.95,5.8,5.83,5.92,-0.12,-2.027,1.1459,12991436,75844502.86,6575367797.4,6575367797.4
2020-09-23,'000795,荎醫貌,5.92,6.08,5.91,5.91,5.83,0.09,1.5437,1.5083,17099700,102267852.78,6711409889.76,6711409889.76
