ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2020-11-18,'002215,Åµ ÆÕ ÐÅ,6.25,6.29,6.11,6.14,6.15,0.1,1.626,1.2232,11035184,68632243.85,5712977400.0,5638368206.25
2020-11-17,'002215,Åµ ÆÕ ÐÅ,6.15,6.21,6.12,6.2,6.23,-0.08,-1.2841,0.8422,7597659,46747136.73,5621569761.6,5548154314.95
2020-11-16,'002215,Åµ ÆÕ ÐÅ,6.23,6.24,6.12,6.15,6.13,0.1,1.6313,1.0268,9263498,57433453.59,5694695872.32,5620325427.99
2020-11-13,'002215,Åµ ÆÕ ÐÅ,6.13,6.16,6.06,6.08,6.11,0.02,0.3273,0.614,5539432,33879281.2,5603288233.92,5530111536.69
2020-11-12,'002215,Åµ ÆÕ ÐÅ,6.11,6.12,6.03,6.03,6.05,0.06,0.9917,0.5386,4858596,29546542.72,5585006706.24,5512068758.43
2020-11-11,'002215,Åµ ÆÕ ÐÅ,6.05,6.13,6.02,6.04,6.06,-0.01,-0.165,0.6799,6133966,37333871.94,5530162123.2,5457940423.65
2020-11-10,'002215,Åµ ÆÕ ÐÅ,6.06,6.15,6.03,6.12,6.1,-0.04,-0.6557,0.6616,5968934,36331057.7,5539302887.04,5466961812.78
2020-11-09,'002215,Åµ ÆÕ ÐÅ,6.1,6.12,6.01,6.02,5.95,0.15,2.521,0.8459,7631052,46454072.7,5575865942.4,5503047369.3
2020-11-06,'002215,Åµ ÆÕ ÐÅ,5.95,6.02,5.92,6.02,6.01,-0.06,-0.9983,0.5709,5149912,30684446.83,5438754484.8,5367726532.35
2020-11-05,'002215,Åµ ÆÕ ÐÅ,6.01,6.02,5.95,5.96,5.93,0.08,1.3491,0.5649,5096244,30517242.96,5493599067.84,5421854867.13
2020-11-04,'002215,Åµ ÆÕ ÐÅ,5.93,5.98,5.91,5.96,5.96,-0.03,-0.5034,0.5013,4522400,26833440.0,5420472957.12,5349683754.09
2020-11-03,'002215,Åµ ÆÕ ÐÅ,5.96,5.98,5.86,5.88,5.86,0.1,1.7065,0.5428,4897060,29056044.36,5447895248.64,5376747921.48
