ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2020-11-18,'002297,²©ÔÆÐÂ²Ä,7.22,7.28,7.15,7.22,7.22,0.0,0.0,0.8657,4080100,29457073.0,3402894624.9,3402894624.9
2020-11-17,'002297,²©ÔÆÐÂ²Ä,7.22,7.36,7.17,7.31,7.31,-0.09,-1.2312,1.3556,6388954,46322733.12,3402894624.9,3402894624.9
2020-11-16,'002297,²©ÔÆÐÂ²Ä,7.31,7.35,7.06,7.1,7.13,0.18,2.5245,1.9394,9140467,66380463.97,3445312978.95,3445312978.95
2020-11-13,'002297,²©ÔÆÐÂ²Ä,7.13,7.23,7.0,7.08,7.09,0.04,0.5642,1.3038,6144847,43772890.96,3360476270.85,3360476270.85
2020-11-12,'002297,²©ÔÆÐÂ²Ä,7.09,7.13,6.99,7.06,7.07,0.02,0.2829,1.074,5061952,35783337.56,3341623669.05,3341623669.05
2020-11-11,'002297,²©ÔÆÐÂ²Ä,7.07,7.19,7.01,7.02,7.06,0.01,0.1416,1.3405,6317917,44793532.26,3332197368.15,3332197368.15
2020-11-10,'002297,²©ÔÆÐÂ²Ä,7.06,7.13,7.0,7.13,7.08,-0.02,-0.2825,0.9221,4345864,30691456.8,3327484217.7,3327484217.7
2020-11-09,'002297,²©ÔÆÐÂ²Ä,7.08,7.12,6.91,6.94,6.93,0.15,2.1645,1.3699,6456776,45529320.59,3336910518.6,3336910518.6
2020-11-06,'002297,²©ÔÆÐÂ²Ä,6.93,6.96,6.81,6.9,6.94,-0.01,-0.1441,0.9724,4583000,31536592.0,3266213261.85,3266213261.85
2020-11-05,'002297,²©ÔÆÐÂ²Ä,6.94,6.96,6.83,6.93,6.9,0.04,0.5797,1.0095,4757738,32872314.0,3270926412.3,3270926412.3
2020-11-04,'002297,²©ÔÆÐÂ²Ä,6.9,6.97,6.78,6.9,6.94,-0.04,-0.5764,1.1267,5310277,36593238.74,3252073810.5,3252073810.5
2020-11-03,'002297,²©ÔÆÐÂ²Ä,6.94,6.97,6.6,6.61,6.62,0.32,4.8338,1.6936,7982180,54503110.2,3270926412.3,3270926412.3
2020-11-02,'002297,²©ÔÆÐÂ²Ä,6.62,6.89,6.52,6.85,6.85,-0.23,-3.3577,1.9141,9021302,59919519.98,3120105597.9,3120105597.9
2020-10-30,'002297,²©ÔÆÐÂ²Ä,6.85,7.25,6.84,7.12,7.11,-0.26,-3.6568,1.6501,7777001,54926981.85,3228508058.25,3228508058.25
2020-10-29,'002297,²©ÔÆÐÂ²Ä,7.11,7.19,7.08,7.11,7.25,-0.14,-1.931,1.0316,4862200,34640644.0,3351049969.95,3351049969.95
2020-10-28,'002297,²©ÔÆÐÂ²Ä,7.25,7.32,7.12,7.28,7.28,-0.03,-0.4121,1.0975,5172693,37262609.11,3417034076.25,3417034076.25
2020-10-27,'002297,²©ÔÆÐÂ²Ä,7.28,7.38,7.21,7.24,7.23,0.05,0.6916,1.0257,4834510,35125636.8,3431173527.6,3431173527.6
2020-10-26,'002297,²©ÔÆÐÂ²Ä,7.23,7.43,7.19,7.4,7.49,-0.26,-3.4713,1.5652,7377000,53652392.16,3407607775.35,3407607775.35
2020-10-23,'002297,²©ÔÆÐÂ²Ä,7.49,7.61,7.44,7.56,7.55,-0.06,-0.7947,1.2295,5795014,43466065.02,3530149687.05,3530149687.05
2020-10-22,'002297,²©ÔÆÐÂ²Ä,7.55,7.62,7.44,7.59,7.67,-0.12,-1.5645,1.2851,6056821,45567728.44,3558428589.75,3558428589.75
2020-10-21,'002297,²©ÔÆÐÂ²Ä,7.67,7.75,7.5,7.65,7.63,0.04,0.5242,2.0734,9772337,74424614.09,3614986395.15,3614986395.15
2020-10-20,'002297,²©ÔÆÐÂ²Ä,7.63,7.66,7.37,7.46,7.43,0.2,2.6918,2.5343,11944507,90568788.23,3596133793.35,3596133793.35
2020-10-19,'002297,²©ÔÆÐÂ²Ä,7.43,7.61,7.42,7.48,7.44,-0.01,-0.1344,1.7071,8046051,60451062.05,3501870784.35,3501870784.35
2020-10-16,'002297,²©ÔÆÐÂ²Ä,7.44,7.45,7.25,7.32,7.35,0.09,1.2245,1.4898,7021545,51796897.48,3506583934.8,3506583934.8
2020-10-15,'002297,²©ÔÆÐÂ²Ä,7.35,7.49,7.3,7.47,7.4,-0.05,-0.6757,1.2855,6058696,44694183.65,3464165580.75,3464165580.75
2020-10-14,'002297,²©ÔÆÐÂ²Ä,7.4,7.71,7.38,7.57,7.59,-0.19,-2.5033,1.5847,7469006,56065061.58,3487731333.0,3487731333.0
2020-10-13,'002297,²©ÔÆÐÂ²Ä,7.59,7.61,7.5,7.59,7.62,-0.03,-0.3937,1.5136,7133601,53864720.05,3577281191.55,3577281191.55
2020-10-12,'002297,²©ÔÆÐÂ²Ä,7.62,7.71,7.45,7.51,7.51,0.11,1.4647,2.7503,12962701,98361920.59,3591420642.9,3591420642.9
2020-10-09,'002297,²©ÔÆÐÂ²Ä,7.51,7.55,7.37,7.45,7.37,0.14,1.8996,2.0485,9654742,72123617.68,3539575987.95,3539575987.95
2020-09-30,'002297,²©ÔÆÐÂ²Ä,7.37,7.37,7.18,7.23,7.24,0.13,1.7956,1.9041,8974300,65487071.06,3473591881.65,3473591881.65
2020-09-29,'002297,²©ÔÆÐÂ²Ä,7.24,7.34,7.08,7.08,7.08,0.16,2.2599,1.5866,7477901,54084933.12,3412320925.8,3412320925.8
2020-09-28,'002297,²©ÔÆÐÂ²Ä,7.08,7.21,7.01,7.11,7.16,-0.08,-1.1173,1.1461,5401692,38359448.5,3336910518.6,3336910518.6
2020-09-25,'002297,²©ÔÆÐÂ²Ä,7.16,7.21,6.97,7.08,7.07,0.09,1.273,1.224,5768955,41140319.67,3374615722.2,3374615722.2
2020-09-24,'002297,²©ÔÆÐÂ²Ä,7.07,7.3,7.06,7.3,7.34,-0.27,-3.6785,1.5655,7378250,52564895.0,3332197368.15,3332197368.15
2020-09-23,'002297,²©ÔÆÐÂ²Ä,7.34,7.43,7.22,7.33,7.33,0.01,0.1364,1.137,5358802,39330589.74,3459452430.3,3459452430.3
2020-09-22,'002297,²©ÔÆÐÂ²Ä,7.33,7.48,7.28,7.28,7.48,-0.15,-2.0053,1.7116,8067250,59388195.0,3454739279.85,3454739279.85
2020-09-21,'002297,²©ÔÆÐÂ²Ä,7.48,7.61,7.18,7.22,7.2,0.28,3.8889,2.867,13512701,100786230.35,3525436536.6,3525436536.6
2020-09-18,'002297,²©ÔÆÐÂ²Ä,7.2,7.22,7.05,7.06,7.06,0.14,1.983,1.508,7107600,50824133.0,3393468324.0,3393468324.0
2020-09-17,'002297,²©ÔÆÐÂ²Ä,7.06,7.15,6.9,7.11,7.12,-0.06,-0.8427,1.9103,9003500,63177753.0,3327484217.7,3327484217.7
2020-09-16,'002297,²©ÔÆÐÂ²Ä,7.12,7.4,7.08,7.29,7.33,-0.21,-2.8649,1.8615,8773751,62887038.6,3355763120.4,3355763120.4
