日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2018-12-27,'000979,中弘退,0.22,0.23,0.2,0.21,0.21,0.01,4.7619,2.5661,215311798,46261118.03,1845932263.78,1845932263.78
2018-12-26,'000979,中弘退,0.21,0.23,0.21,0.23,0.23,-0.02,-8.6957,2.1549,180809423,39599462.12,1762026251.79,1762026251.79
2018-12-25,'000979,中弘退,0.23,0.24,0.22,0.23,0.23,0.0,0.0,1.3032,109350450,24955363.0,1929838275.77,1929838275.77
2018-12-24,'000979,中弘退,0.23,0.24,0.23,0.24,0.24,-0.01,-4.1667,0.9778,82039499,19125855.77,1929838275.77,1929838275.77
2018-12-21,'000979,中弘退,0.24,0.25,0.22,0.23,0.23,0.01,4.3478,1.7626,147896405,34236536.21,2013744287.76,2013744287.76
2018-12-20,'000979,中弘退,0.23,0.24,0.22,0.23,0.23,0.0,0.0,0.8943,75038002,17276672.17,1929838275.77,1929838275.77
2018-12-19,'000979,中弘退,0.23,0.24,0.22,0.24,0.24,-0.01,-4.1667,1.166,97837901,22690788.23,1929838275.77,1929838275.77
2018-12-18,'000979,中弘退,0.24,0.26,0.23,0.25,0.26,-0.02,-7.6923,1.7944,150556924,36734787.87,2013744287.76,2013744287.76
2018-12-17,'000979,中弘退,0.26,0.27,0.25,0.26,0.26,0.0,0.0,0.6941,58237295,14977591.75,2181556311.74,2181556311.74
2018-12-14,'000979,中弘退,0.26,0.27,0.25,0.27,0.27,-0.01,-3.7037,1.2688,106463324,27814571.11,2181556311.74,2181556311.74
2018-12-13,'000979,中弘退,0.27,0.28,0.26,0.27,0.27,0.0,0.0,0.9844,82597524,22168257.24,2265462323.73,2265462323.73
2018-12-12,'000979,中弘退,0.27,0.28,0.26,0.27,0.27,0.0,0.0,1.0167,85309063,23228147.17,2265462323.73,2265462323.73
2018-12-11,'000979,中弘退,0.27,0.27,0.26,0.27,0.26,0.01,3.8462,0.7942,66641834,17703820.84,2265462323.73,2265462323.73
2018-12-10,'000979,中弘退,0.26,0.28,0.25,0.25,0.25,0.01,4.0,2.1204,177916790,47213874.67,2181556311.74,2181556311.74
2018-12-07,'000979,中弘退,0.25,0.26,0.25,0.26,0.26,-0.01,-3.8462,0.6794,57002257,14510377.25,2097650299.75,2097650299.75
2018-12-06,'000979,中弘退,0.26,0.26,0.25,0.26,0.26,0.0,0.0,0.7941,66629527,16965262.75,2181556311.74,2181556311.74
2018-12-05,'000979,中弘退,0.26,0.28,0.25,0.27,0.28,-0.02,-7.1429,1.923,161349465,42621730.9,2181556311.74,2181556311.74
2018-12-04,'000979,中弘退,0.28,0.29,0.26,0.28,0.29,-0.01,-3.4483,2.5331,212541628,58476448.98,2349368335.72,2349368335.72
2018-12-03,'000979,中弘退,0.29,0.3,0.28,0.29,0.28,0.01,3.5714,2.5384,212988771,61226245.39,2433274347.71,2433274347.71
2018-11-30,'000979,中弘退,0.28,0.29,0.26,0.27,0.26,0.02,7.6923,3.1461,263977066,72548655.23,2349368335.72,2349368335.72
2018-11-29,'000979,中弘退,0.26,0.3,0.26,0.26,0.29,-0.03,-10.3448,5.6857,477067998,128963308.65,2181556311.74,2181556311.74
