хуфз,╧иф╠╢ЗбК,цШЁф,йуел╪ш,вН╦ъ╪ш,вН╣м╪ш,©╙ел╪ш,г╟йуел,уг╣Ь╤Н,уг╣Ь╥Ы,╩╩йжбй,Ёи╫╩а©,Ёи╫╩╫П╤Н,вэйпж╣,аВм╗йпж╣
2020-11-18,'000502,бл╬╟©ь╧и,7.5,7.53,7.34,7.34,7.34,0.16,2.1798,0.768,1408132,10509241.32,1386147052.5,1375122052.5
2020-11-17,'000502,бл╬╟©ь╧и,7.34,7.46,7.26,7.44,7.44,-0.1,-1.3441,0.535,980900,7204112.0,1356575915.38,1345786115.38
2020-11-16,'000502,бл╬╟©ь╧и,7.44,7.77,7.31,7.47,7.42,0.02,0.2695,0.645,1182553,8792351.3,1375057876.08,1364121076.08
2020-11-13,'000502,бл╬╟©ь╧и,7.42,7.45,7.29,7.44,7.45,-0.03,-0.4027,0.626,1147800,8461062.98,1371361483.94,1360454083.94
2020-11-12,'000502,бл╬╟©ь╧и,7.45,7.56,7.37,7.49,7.49,-0.04,-0.534,1.079,1978350,14725955.45,1376906072.15,1365954572.15
2020-11-11,'000502,бл╬╟©ь╧и,7.49,7.65,7.47,7.5,7.55,-0.06,-0.7947,0.5975,1095518,8260320.29,1384298856.43,1373288556.43
2020-11-10,'000502,бл╬╟©ь╧и,7.55,7.81,7.51,7.74,7.64,-0.09,-1.178,0.8395,1539200,11703164.0,1395388032.85,1384289532.85
2020-11-09,'000502,бл╬╟©ь╧и,7.64,7.85,7.62,7.62,7.6,0.04,0.5263,1.0349,1897469,14678213.61,1412021797.48,1400790997.48
2020-11-06,'000502,бл╬╟©ь╧и,7.6,7.84,7.54,7.84,7.84,-0.24,-3.0612,0.9019,1653700,12632095.51,1404629013.2,1393457013.2
2020-11-05,'000502,бл╬╟©ь╧и,7.84,7.84,7.68,7.75,7.67,0.17,2.2164,0.8175,1498900,11638406.0,1448985718.88,1437460918.88
2020-11-04,'000502,бл╬╟©ь╧и,7.67,7.76,7.51,7.6,7.54,0.13,1.7241,1.0062,1844800,14116422.0,1417566385.69,1406291485.69
2020-11-03,'000502,бл╬╟©ь╧и,7.54,7.79,7.36,7.6,7.47,0.07,0.9371,1.899,3481751,26505957.09,1393539836.78,1382456036.78
2020-11-02,'000502,бл╬╟©ь╧и,7.47,7.79,7.34,7.39,7.39,0.08,1.0825,1.7235,3160100,23547815.0,1380602464.29,1369621564.29
2020-10-30,'000502,бл╬╟©ь╧и,7.39,7.78,7.33,7.65,7.65,-0.26,-3.3987,1.3868,2542700,19017420.0,1365816895.73,1354953595.73
