日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2020-11-18,'002330,得利斯,6.87,6.98,6.75,6.77,6.76,0.11,1.6272,1.1585,5815501,40038846.83,3448740000.0,3448740000.0
2020-11-17,'002330,得利斯,6.76,6.77,6.66,6.7,6.7,0.06,0.8955,0.6471,3248604,21849694.88,3393520000.0,3393520000.0
2020-11-16,'002330,得利斯,6.7,6.72,6.58,6.58,6.57,0.13,1.9787,0.5625,2823804,18832068.76,3363400000.0,3363400000.0
2020-11-13,'002330,得利斯,6.57,6.69,6.53,6.69,6.66,-0.09,-1.3514,0.5421,2721400,17897835.0,3298140000.0,3298140000.0
2020-11-12,'002330,得利斯,6.66,6.69,6.58,6.64,6.64,0.02,0.3012,0.3785,1900001,12655534.66,3343320000.0,3343320000.0
2020-11-11,'002330,得利斯,6.64,6.79,6.62,6.73,6.74,-0.1,-1.4837,0.5202,2611600,17440609.0,3333280000.0,3333280000.0
2020-11-10,'002330,得利斯,6.74,6.83,6.69,6.82,6.84,-0.1,-1.462,0.5561,2791700,18892444.0,3383480000.0,3383480000.0
2020-11-09,'002330,得利斯,6.84,6.86,6.74,6.75,6.74,0.1,1.4837,0.7467,3748600,25553547.0,3433680000.0,3433680000.0
2020-11-06,'002330,得利斯,6.74,6.86,6.7,6.85,6.85,-0.11,-1.6058,0.6143,3083700,20821124.0,3383480000.0,3383480000.0
2020-11-05,'002330,得利斯,6.85,6.93,6.81,6.84,6.84,0.01,0.1462,0.8017,4024300,27572951.0,3438700000.0,3438700000.0
2020-11-04,'002330,得利斯,6.84,6.9,6.75,6.8,6.8,0.04,0.5882,0.702,3523800,24053514.0,3433680000.0,3433680000.0
2020-11-03,'002330,得利斯,6.8,6.83,6.41,6.41,6.45,0.35,5.4264,1.2176,6112600,40854433.0,3413600000.0,3413600000.0
2020-11-02,'002330,得利斯,6.45,6.64,6.4,6.62,6.65,-0.2,-3.0075,1.0047,5043484,32683436.36,3237900000.0,3237900000.0
2020-10-30,'002330,得利斯,6.65,7.03,6.57,6.98,6.97,-0.32,-4.5911,1.2206,6127302,41549690.68,3338300000.0,3338300000.0
2020-10-29,'002330,得利斯,6.97,7.07,6.73,6.76,6.82,0.15,2.1994,1.2857,6454274,44804760.76,3498940000.0,3498940000.0
2020-10-28,'002330,得利斯,6.82,6.84,6.68,6.77,6.74,0.08,1.1869,0.8499,4266280,28904180.8,3423640000.0,3423640000.0
2020-10-27,'002330,得利斯,6.74,6.75,6.66,6.66,6.72,0.02,0.2976,0.4064,2040000,13691783.0,3383480000.0,3383480000.0
2020-10-26,'002330,得利斯,6.72,6.77,6.51,6.66,6.67,0.05,0.7496,0.5687,2854783,19075739.42,3373440000.0,3373440000.0
2020-10-23,'002330,得利斯,6.67,6.77,6.63,6.7,6.7,-0.03,-0.4478,0.4001,2008600,13421592.0,3348340000.0,3348340000.0
2020-10-22,'002330,得利斯,6.7,6.71,6.57,6.63,6.62,0.08,1.2085,0.4936,2478110,16463560.7,3363400000.0,3363400000.0
2020-10-21,'002330,得利斯,6.62,6.73,6.61,6.71,6.72,-0.1,-1.4881,0.3676,1845380,12257040.4,3323240000.0,3323240000.0
2020-10-20,'002330,得利斯,6.72,6.73,6.62,6.73,6.71,0.01,0.149,0.4054,2035102,13577117.22,3373440000.0,3373440000.0
2020-10-19,'002330,得利斯,6.71,6.81,6.67,6.68,6.69,0.02,0.299,0.4536,2277099,15345251.3,3368420000.0,3368420000.0
2020-10-16,'002330,得利斯,6.69,6.74,6.64,6.73,6.72,-0.03,-0.4464,0.427,2143500,14338916.0,3358380000.0,3358380000.0
2020-10-15,'002330,得利斯,6.72,6.79,6.71,6.75,6.78,-0.06,-0.885,0.454,2279100,15349427.0,3373440000.0,3373440000.0
2020-10-14,'002330,得利斯,6.78,6.91,6.74,6.82,6.82,-0.04,-0.5865,0.5595,2808540,19138015.6,3403560000.0,3403560000.0
2020-10-13,'002330,得利斯,6.82,6.91,6.77,6.91,6.92,-0.1,-1.4451,0.6934,3480700,23755583.0,3423640000.0,3423640000.0
2020-10-12,'002330,得利斯,6.92,6.93,6.8,6.83,6.83,0.09,1.3177,0.8182,4107220,28244464.0,3473840000.0,3473840000.0
2020-10-09,'002330,得利斯,6.83,6.85,6.77,6.81,6.77,0.06,0.8863,0.7825,3927960,26721896.2,3428660000.0,3428660000.0
2020-09-30,'002330,得利斯,6.77,6.79,6.61,6.63,6.63,0.14,2.1116,0.8765,4400208,29612045.46,3398540000.0,3398540000.0
2020-09-29,'002330,得利斯,6.63,6.67,6.51,6.51,6.51,0.12,1.8433,0.6708,3367310,22283928.2,3328260000.0,3328260000.0
2020-09-28,'002330,得利斯,6.51,6.55,6.44,6.51,6.48,0.03,0.463,0.4271,2143880,13900370.8,3268020000.0,3268020000.0
2020-09-25,'002330,得利斯,6.48,6.65,6.45,6.59,6.59,-0.11,-1.6692,0.728,3654600,23881581.0,3252960000.0,3252960000.0
2020-09-24,'002330,得利斯,6.59,6.82,6.53,6.82,6.85,-0.26,-3.7956,1.0874,5458618,36329175.04,3308180000.0,3308180000.0
2020-09-23,'002330,得利斯,6.85,6.87,6.8,6.82,6.81,0.04,0.5874,0.4222,2119440,14487258.18,3438700000.0,3438700000.0
2020-09-22,'002330,得利斯,6.81,6.94,6.79,6.89,6.94,-0.13,-1.8732,0.6864,3445640,23677505.2,3418620000.0,3418620000.0
2020-09-21,'002330,得利斯,6.94,6.98,6.85,6.98,6.97,-0.03,-0.4304,0.7428,3729040,25760456.8,3483880000.0,3483880000.0
2020-09-18,'002330,得利斯,6.97,7.0,6.9,6.9,6.91,0.06,0.8683,1.1211,5628032,39087818.48,3498940000.0,3498940000.0
