日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2020-11-18,'000766,通化金马,3.66,3.72,3.6,3.63,3.63,0.03,0.8264,1.3477,9528701,34884714.48,3537370627.62,2587709468.7
2020-11-17,'000766,通化金马,3.63,3.7,3.61,3.69,3.68,-0.05,-1.3587,1.1756,8311559,30189987.58,3508375786.41,2566498735.35
2020-11-16,'000766,通化金马,3.68,3.72,3.65,3.66,3.64,0.04,1.0989,1.1296,7986700,29394088.0,3556700521.76,2601849957.6
2020-11-13,'000766,通化金马,3.64,3.7,3.61,3.66,3.65,-0.01,-0.274,0.76,5373600,19592951.0,3518040733.48,2573568979.8
2020-11-12,'000766,通化金马,3.65,3.72,3.64,3.68,3.7,-0.05,-1.3514,0.9356,6614701,24262560.65,3527705680.55,2580639224.25
2020-11-11,'000766,通化金马,3.7,3.77,3.65,3.77,3.73,-0.03,-0.8043,1.3251,9368700,34491695.98,3576030415.9,2615990446.5
2020-11-10,'000766,通化金马,3.73,3.85,3.72,3.83,3.8,-0.07,-1.8421,1.7233,12184100,46017987.0,3605025257.11,2637201179.85
2020-11-09,'000766,通化金马,3.8,3.95,3.69,3.69,3.69,0.11,2.981,2.7102,19161923,73237530.21,3672679886.6,2686692891.0
2020-11-06,'000766,通化金马,3.69,3.77,3.63,3.77,3.78,-0.09,-2.381,1.6472,11645924,42859970.18,3566365468.83,2608920202.05
2020-11-05,'000766,通化金马,3.78,3.85,3.62,3.67,3.62,0.16,4.4199,3.1306,22134214,83005749.82,3653349992.46,2672552402.1
2020-11-04,'000766,通化金马,3.62,3.74,3.6,3.73,3.72,-0.1,-2.6882,1.6461,11638205,42309084.2,3498710839.34,2559428490.9
2020-11-03,'000766,通化金马,3.72,3.8,3.68,3.69,3.7,0.02,0.5405,1.6693,11802259,43992760.66,3595360310.04,2630130935.4
2020-11-02,'000766,通化金马,3.7,3.74,3.5,3.65,3.68,0.02,0.5435,2.3451,16580384,59769558.8,3576030415.9,2615990446.5
2020-10-30,'000766,通化金马,3.68,3.86,3.65,3.86,3.87,-0.19,-4.9096,1.5837,11197123,41803179.98,3556700521.76,2601849957.6
2020-10-29,'000766,通化金马,3.87,4.0,3.83,3.85,3.9,-0.03,-0.7692,1.3156,9301831,36046373.58,3740334516.09,2736184602.15
2020-10-28,'000766,通化金马,3.9,3.93,3.77,3.87,3.88,0.02,0.5155,1.199,8477136,32657750.15,3769329357.3,2757395335.5
2020-10-27,'000766,通化金马,3.88,4.06,3.78,4.02,4.04,-0.16,-3.9604,1.8482,13067275,50929753.38,3749999463.16,2743254846.6
2020-10-26,'000766,通化金马,4.04,4.09,4.02,4.07,4.07,-0.03,-0.7371,0.483,3415125,13810343.75,3904638616.28,2856378757.8
2020-10-23,'000766,通化金马,4.07,4.19,4.06,4.17,4.2,-0.13,-3.0952,0.8745,6182716,25395277.2,3933633457.49,2877589491.15
2020-10-22,'000766,通化金马,4.2,4.22,4.11,4.18,4.2,0.0,0.0,0.838,5924798,24557822.7,4059277769.4,2969502669.0
2020-10-21,'000766,通化金马,4.2,4.27,4.16,4.27,4.26,-0.06,-1.4085,0.7627,5392500,22654497.9,4059277769.4,2969502669.0
2020-10-20,'000766,通化金马,4.26,4.3,4.23,4.3,4.29,-0.03,-0.6993,0.7,4949192,21102674.54,4117267451.82,3011924135.7
2020-10-19,'000766,通化金马,4.29,4.48,4.26,4.26,4.26,0.03,0.7042,0.9936,7024900,30301256.98,4146262293.03,3033134869.05
2020-10-16,'000766,通化金马,4.26,4.27,4.16,4.21,4.26,0.0,0.0,1.2392,8761737,36950040.6,4117267451.82,3011924135.7
2020-10-15,'000766,通化金马,4.26,4.54,4.21,4.52,4.54,-0.28,-6.1674,2.5075,17728589,76104861.27,4117267451.82,3011924135.7
2020-10-14,'000766,通化金马,4.54,4.67,4.54,4.66,4.65,-0.11,-2.3656,1.0019,7083374,32537252.88,4387885969.78,3209890980.3
2020-10-13,'000766,通化金马,4.65,4.74,4.64,4.68,4.71,-0.06,-1.2739,0.7815,5525104,25806830.6,4494200387.55,3287663669.25
2020-10-12,'000766,通化金马,4.71,4.71,4.63,4.63,4.63,0.08,1.7279,0.8163,5771646,27006687.64,4552190069.97,3330085135.95
2020-10-09,'000766,通化金马,4.63,4.66,4.59,4.6,4.56,0.07,1.5351,0.7284,5149885,23831065.55,4474870493.41,3273523180.35
2020-09-30,'000766,通化金马,4.56,4.6,4.53,4.59,4.58,-0.02,-0.4367,0.6062,4286013,19538244.15,4407215863.92,3224031469.2
2020-09-29,'000766,通化金马,4.58,4.62,4.51,4.55,4.57,0.01,0.2188,0.9097,6431560,29466681.55,4426545758.06,3238171958.1
2020-09-28,'000766,通化金马,4.57,4.65,4.5,4.62,4.6,-0.03,-0.6522,1.1567,8178033,37475803.01,4416880810.99,3231101713.65
2020-09-25,'000766,通化金马,4.6,4.66,4.56,4.63,4.62,-0.02,-0.4329,0.6512,4604000,21205889.14,4445875652.2,3252312447.0
2020-09-24,'000766,通化金马,4.62,4.78,4.6,4.76,4.78,-0.16,-3.3473,1.4268,10088116,47168838.72,4465205546.34,3266452935.9
2020-09-23,'000766,通化金马,4.78,4.83,4.78,4.79,4.79,-0.01,-0.2088,0.5752,4067125,19499947.75,4619844699.46,3379576847.1
2020-09-22,'000766,通化金马,4.79,4.87,4.78,4.82,4.84,-0.05,-1.0331,0.8437,5965194,28706830.32,4629509646.53,3386647091.55
2020-09-21,'000766,通化金马,4.84,4.88,4.81,4.87,4.88,-0.04,-0.8197,0.9203,6506419,31547121.77,4677834381.88,3421998313.8
2020-09-18,'000766,通化金马,4.88,4.88,4.76,4.82,4.83,0.05,1.0352,1.1255,7957860,38319545.85,4716494170.16,3450279291.6
2020-09-17,'000766,通化金马,4.83,4.85,4.78,4.83,4.85,-0.02,-0.4124,0.7214,5100366,24530102.12,4668169434.81,3414928069.35
2020-09-16,'000766,通化金马,4.85,4.92,4.8,4.92,4.9,-0.05,-1.0204,1.0049,7104600,34340886.0,4687499328.95,3429068558.25
2020-09-15,'000766,通化金马,4.9,5.03,4.85,4.89,4.9,0.0,0.0,0.9919,7013311,34374712.6,4735824064.3,3464419780.5
2020-09-14,'000766,通化金马,4.9,4.96,4.82,4.83,4.85,0.05,1.0309,1.1259,7960096,38894973.88,4735824064.3,3464419780.5
2020-09-11,'000766,通化金马,4.85,4.98,4.76,4.9,4.93,-0.08,-1.6227,2.2097,15622778,75600261.77,4687499328.95,3429068558.25
2020-09-10,'000766,通化金马,4.93,5.47,4.87,5.46,5.41,-0.48,-8.8725,3.664,25905401,133439825.24,4764818905.51,3485630513.85
2020-09-09,'000766,通化金马,5.41,5.53,5.34,5.4,5.45,-0.04,-0.7339,2.3651,16721933,90717410.52,5228736364.87,3825002247.45
2020-09-08,'000766,通化金马,5.45,5.57,5.36,5.48,5.51,-0.06,-1.0889,2.3064,16306892,88307277.64,5267396153.15,3853283225.25
2020-09-07,'000766,通化金马,5.51,5.6,5.4,5.45,5.47,0.04,0.7313,2.7371,19352091,106272414.73,5325385835.57,3895704691.95
2020-09-04,'000766,通化金马,5.47,5.62,5.38,5.48,5.58,-0.11,-1.9713,3.3083,23390553,127853718.83,5286726047.29,3867423714.15
2020-09-03,'000766,通化金马,5.58,5.78,5.33,5.43,5.39,0.19,3.525,5.2822,37346544,207678270.86,5393040465.06,3945196403.1
2020-09-02,'000766,通化金马,5.39,5.42,5.24,5.24,5.25,0.14,2.6667,2.7973,19777777,105806757.28,5209406470.73,3810861758.55
2020-09-01,'000766,通化金马,5.25,5.36,5.2,5.31,5.34,-0.09,-1.6854,1.9711,13936092,73230734.18,5074097211.75,3711878336.25
2020-08-31,'000766,通化金马,5.34,5.44,5.28,5.37,5.3,0.04,0.7547,3.7547,26546605,142333959.52,5161081735.38,3775510536.3
2020-08-28,'000766,通化金马,5.3,5.3,5.1,5.12,5.13,0.17,3.3138,2.8128,19886867,103975909.32,5122421947.1,3747229558.5
2020-08-27,'000766,通化金马,5.13,5.15,5.06,5.12,5.15,-0.02,-0.3883,1.1519,8143902,41594072.95,4958117846.91,3627035402.85
2020-08-26,'000766,通化金马,5.15,5.25,5.09,5.15,5.18,-0.03,-0.5792,1.0196,7208544,37092881.28,4977447741.05,3641175891.75
2020-08-25,'000766,通化金马,5.18,5.19,5.1,5.18,5.18,0.0,0.0,1.019,7204721,37089887.24,5006442582.26,3662386625.1
2020-08-24,'000766,通化金马,5.18,5.22,5.08,5.21,5.19,-0.01,-0.1927,0.9928,7018999,36103171.35,5006442582.26,3662386625.1
2020-08-21,'000766,通化金马,5.19,5.28,5.17,5.26,5.25,-0.06,-1.1429,1.363,9636400,50219034.99,5016107529.33,3669456869.55
2020-08-20,'000766,通化金马,5.25,5.33,5.16,5.24,5.26,-0.01,-0.1901,1.3922,9843200,51731186.93,5074097211.75,3711878336.25
2020-08-19,'000766,通化金马,5.26,5.35,5.2,5.26,5.28,-0.02,-0.3788,1.8362,12982549,68414652.82,5083762158.82,3718948580.7
2020-08-18,'000766,通化金马,5.28,5.38,5.26,5.31,5.29,-0.01,-0.189,2.504,17703610,93982037.61,5103092052.96,3733089069.6
2020-08-17,'000766,通化金马,5.29,5.3,5.22,5.28,5.2,0.09,1.7308,3.0394,21489543,113063588.09,5112757000.03,3740159314.05
2020-08-14,'000766,通化金马,5.2,5.22,5.05,5.16,5.12,0.08,1.5625,1.8236,12893100,66308728.0,5025772476.4,3676527114.0
2020-08-13,'000766,通化金马,5.12,5.17,5.03,5.05,5.05,0.07,1.3861,1.3563,9589470,48926064.89,4948452899.84,3619965158.4
2020-08-12,'000766,通化金马,5.05,5.14,4.94,5.14,5.13,-0.08,-1.5595,1.4782,10450947,52325331.13,4880798270.35,3570473447.25
2020-08-11,'000766,通化金马,5.13,5.21,5.07,5.18,5.19,-0.06,-1.1561,1.5324,10834400,55605283.32,4958117846.91,3627035402.85
2020-08-10,'000766,通化金马,5.19,5.23,5.06,5.1,5.14,0.05,0.9728,1.3369,9452182,48721503.4,5016107529.33,3669456869.55
2020-08-07,'000766,通化金马,5.14,5.3,5.06,5.23,5.22,-0.08,-1.5326,1.8368,12986378,66958406.32,4967782793.98,3634105647.3
2020-08-06,'000766,通化金马,5.22,5.34,5.14,5.3,5.3,-0.08,-1.5094,2.2837,16146036,84285632.17,5045102370.54,3690667602.9
2020-08-05,'000766,通化金马,5.3,5.45,5.22,5.29,5.29,0.01,0.189,3.3164,23447524,124888675.81,5122421947.1,3747229558.5
2020-08-04,'000766,通化金马,5.29,5.4,5.21,5.34,5.33,-0.04,-0.7505,2.2017,15566772,82025377.41,5112757000.03,3740159314.05
2020-08-03,'000766,通化金马,5.33,5.38,5.24,5.27,5.28,0.05,0.947,3.1512,22280101,118248445.32,5151416788.31,3768440291.85
