�梪�,嘖き測鎢,靡備,彶攫歎,郔詢歎,郔腴歎,羲攫歎,ヶ彶攫,梀視塗,梀視盟,遙忒薹,傖蝠講,傖蝠踢塗,軞庈硉,霜籵庈硉
2020-11-18,'002032,劼 眼 嫌,70.4,72.4,70.0,72.01,71.96,-1.56,-2.1679,0.4694,2873647,204072820.95,57804303744.0,43098998694.4
2020-11-17,'002032,劼 眼 嫌,71.96,74.02,71.41,71.55,71.9,0.06,0.0834,0.4205,2574056,187017222.84,59085194565.6,44054033324.6
2020-11-16,'002032,劼 眼 嫌,71.9,73.18,71.6,72.39,72.66,-0.76,-1.046,0.2281,1396585,100693335.73,59035929534.0,44017301223.4
2020-11-13,'002032,劼 眼 嫌,72.66,74.18,71.41,73.93,74.18,-1.52,-2.0491,0.2574,1575693,114354831.85,59659953267.6,44473898900.8
2020-11-12,'002032,劼 眼 嫌,74.18,74.56,71.81,72.81,72.81,1.37,1.8816,0.304,1860634,136342847.57,60908000734.8,45404263975.5
2020-11-11,'002032,劼 眼 嫌,72.81,73.83,72.51,73.33,73.31,-0.5,-0.682,0.2094,1281636,93829806.62,59783115846.6,44565711243.7
2020-11-10,'002032,劼 眼 嫌,73.31,74.0,72.5,73.83,73.82,-0.51,-0.6909,0.2191,1341180,98082077.42,60193657776.6,44871752386.7
2020-11-09,'002032,劼 眼 嫌,73.82,75.42,72.62,72.75,72.75,1.07,1.4708,0.5875,3596253,265138758.58,60612410545.2,45183914352.5
2020-11-06,'002032,劼 眼 嫌,72.75,74.63,72.2,73.0,72.2,0.55,0.7618,0.4684,2866960,209870938.87,59733850815.0,44528986306.5
2020-11-05,'002032,劼 眼 嫌,72.2,73.5,71.3,71.31,71.31,0.89,1.2481,0.2976,1821253,131552993.7,59282254692.0,44192341049.2
2020-11-04,'002032,劼 眼 嫌,71.31,72.0,70.12,70.12,70.3,1.01,1.4367,0.3001,1836597,130981165.71,58551490056.6,43647587814.7
2020-11-03,'002032,劼 眼 嫌,70.3,70.84,69.05,70.01,69.87,0.43,0.6154,0.2903,1776579,123946084.87,57722195358.0,43029384705.8
2020-11-02,'002032,劼 眼 嫌,69.87,70.95,69.33,70.52,70.66,-0.79,-1.118,0.3894,2383208,166598426.07,57369129298.2,42766189322.8
2020-10-30,'002032,劼 眼 嫌,70.66,72.7,70.08,72.58,71.97,-1.31,-1.8202,0.2715,1662108,118529699.88,58017785547.6,43249734328.8
2020-10-29,'002032,劼 眼 嫌,71.97,72.48,68.85,70.8,70.92,1.05,1.4805,0.3981,2436498,172895503.55,59093405404.2,44051562123.4
2020-10-28,'002032,劼 眼 嫌,70.92,71.55,69.14,69.33,68.8,2.12,3.0814,0.4199,2570097,181563013.23,58231267351.2,43408875723.1
2020-10-27,'002032,劼 眼 嫌,68.8,70.79,67.8,70.1,72.26,-3.46,-4.7883,0.6608,4044397,278263619.34,56490569568.0,42111261276.8
2020-10-26,'002032,劼 眼 嫌,72.26,73.9,71.58,73.9,73.88,-1.62,-2.1927,0.1921,1175895,84977478.25,59331519723.6,44229065986.4
2020-10-23,'002032,劼 眼 嫌,73.88,74.8,73.67,73.99,74.3,-0.42,-0.5653,0.1123,687275,50989570.48,60661675576.8,45220639289.7
2020-10-22,'002032,劼 眼 嫌,74.3,74.85,73.71,74.47,74.8,-0.5,-0.6684,0.0945,578579,42920344.85,61006530798.0,45477713849.8
2020-10-21,'002032,劼 眼 嫌,74.8,75.63,74.19,75.1,75.1,-0.3,-0.3995,0.1369,837806,62711258.34,61417072728.0,45783754992.8
2020-10-20,'002032,劼 眼 嫌,75.1,75.18,73.81,74.05,73.87,1.23,1.6651,0.1877,1149041,85607366.34,61663397886.0,45967379678.6
2020-10-19,'002032,劼 眼 嫌,73.87,75.77,73.8,74.82,75.17,-1.3,-1.7294,0.2208,1351272,100685022.82,60653464738.2,45214518466.8
2020-10-16,'002032,劼 眼 嫌,75.17,77.11,74.58,76.5,76.59,-1.42,-1.854,0.3497,2140509,161694391.25,61720873756.2,46010225438.6
2020-10-15,'002032,劼 眼 嫌,76.59,76.9,74.15,75.5,75.69,0.9,1.1891,0.4106,2513405,190423785.75,62886812837.4,46879382284.7
2020-10-14,'002032,劼 眼 嫌,75.69,77.5,75.32,76.3,76.58,-0.89,-1.1622,0.3625,2219008,169179498.24,62147837363.4,46328508227.3
